institution_name,other_names,ror_id,ror_id_with_quotes,child_organizations,custom_query_override,query_medicine
Amgen,applied molecular genetics,03g03ge92,"""03g03ge92""",NA,NA,"(author.affiliation.name:(""amgen"" OR ""applied molecular genetics"") OR author.affiliation.ror_id_lineage:(""03g03ge92"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Bayer,NA,04hmn8g73,"""04hmn8g73""",NA,NA,"(author.affiliation.name:(""bayer"") OR author.affiliation.ror_id_lineage:(""04hmn8g73"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Vertex Pharmaceuticals,NA,00anb1726,"""00anb1726""",NA,NA,"(author.affiliation.name:(""vertex pharmaceuticals"") OR author.affiliation.ror_id_lineage:(""00anb1726"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Regeneron,NA,02f51rf24,"""02f51rf24""",NA,NA,"(author.affiliation.name:(""regeneron"") OR author.affiliation.ror_id_lineage:(""02f51rf24"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Novo Nordisk,NA,0435rc536,"""0435rc536""",NA,NA,"(author.affiliation.name:(""novo nordisk"") OR author.affiliation.ror_id_lineage:(""0435rc536"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Biogen,biogen idec,02jqkb192,"""02jqkb192""",NA,NA,"(author.affiliation.name:(""biogen"" OR ""biogen idec"") OR author.affiliation.ror_id_lineage:(""02jqkb192"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Daiichi Sankyo,NA,027y26122,"""027y26122""",NA,NA,"(author.affiliation.name:(""daiichi sankyo"") OR author.affiliation.ror_id_lineage:(""027y26122"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Astellas Pharma,asuterasu seiyaku kabushiki-gaisha,01cjash87,"""01cjash87""",NA,NA,"(author.affiliation.name:(""astellas pharma"" OR ""asuterasu seiyaku kabushiki-gaisha"") OR author.affiliation.ror_id_lineage:(""01cjash87"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Otsuka,otsuka seiyaku kabushiki-gaisha,013k5y296,"""013k5y296""",astex pharmaceuticals,"""otsuka"" OR ""astex pharmaceuticals""","(author.affiliation.name:(""otsuka"" OR ""astex pharmaceuticals"") OR author.affiliation.ror_id_lineage:(""013k5y296"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
UCB,union chimique belge,01n029866,"""01n029866""",NA,NA,"(author.affiliation.name:(""ucb"" OR ""union chimique belge"") OR author.affiliation.ror_id_lineage:(""01n029866"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Moderna,NA,01xm4wg91,"""01xm4wg91""",NA,NA,"(author.affiliation.name:(""moderna"") OR author.affiliation.ror_id_lineage:(""01xm4wg91"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Eisai,ezai kabushiki-gaisha,04vvh7p27,"""04vvh7p27""",ea pharma,"""eisai"" OR ""ea pharma""","(author.affiliation.name:(""eisai"" OR ""ea pharma"") OR author.affiliation.ror_id_lineage:(""04vvh7p27"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
CSL,zlb behring,044tc0x05,"""044tc0x05""",NA,NA,"(author.affiliation.name:(""csl"" OR ""zlb behring"") OR author.affiliation.ror_id_lineage:(""044tc0x05"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Jiangsu Hengrui Medicine,NA,04ayvvz32,"""04ayvvz32""",NA,NA,"(author.affiliation.name:(""jiangsu hengrui medicine"") OR author.affiliation.ror_id_lineage:(""04ayvvz32"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Teva Pharmaceuticals,NA,01wfv3m53,"""01wfv3m53""",NA,NA,"(author.affiliation.name:(""teva pharmaceuticals"") OR author.affiliation.ror_id_lineage:(""01wfv3m53"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Sumitomo Dainippon Pharma,dainippon sumitomo seiyaku kabushiki-gaisha,04sapgw72,"""04sapgw72""",NA,NA,"(author.affiliation.name:(""sumitomo dainippon pharma"" OR ""dainippon sumitomo seiyaku kabushiki-gaisha"") OR author.affiliation.ror_id_lineage:(""04sapgw72"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Fresenius,fresenius se & co. kgaa,01v376g59,"""01v376g59""",NA,NA,"(author.affiliation.name:(""fresenius"" OR ""fresenius se & co. kgaa"") OR author.affiliation.ror_id_lineage:(""01v376g59"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Viatris,NA,01g1gvr46,"""01g1gvr46""",NA,NA,"(author.affiliation.name:(""viatris"") OR author.affiliation.ror_id_lineage:(""01g1gvr46"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Kyowa Kirin,kyowa hakko kirin,000wej815,"""000wej815""",NA,NA,"(author.affiliation.name:(""kyowa kirin"" OR ""kyowa hakko kirin"") OR author.affiliation.ror_id_lineage:(""000wej815"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Ipsen,NA,00d801g55,"""00d801g55""",NA,NA,"(author.affiliation.name:(""ipsen"") OR author.affiliation.ror_id_lineage:(""00d801g55"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Jazz Pharmaceuticals,azur pharma,055mhsv54,"""055mhsv54""",NA,NA,"(author.affiliation.name:(""jazz pharmaceuticals"" OR ""azur pharma"") OR author.affiliation.ror_id_lineage:(""055mhsv54"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Sino Biopharmaceutical,NA,0086q4c12,"""0086q4c12""",NA,NA,"(author.affiliation.name:(""sino biopharmaceutical"") OR author.affiliation.ror_id_lineage:(""0086q4c12"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Bausch Health,valeant pharmaceuticals,01zgpn844,"""01zgpn844""",NA,NA,"(author.affiliation.name:(""bausch health"" OR ""valeant pharmaceuticals"") OR author.affiliation.ror_id_lineage:(""01zgpn844"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
CSPC Pharmaceutical Group,NA,016mq8947,"""016mq8947""",NA,NA,"(author.affiliation.name:(""cspc pharmaceutical group"") OR author.affiliation.ror_id_lineage:(""016mq8947"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Galapagos,galapagos genomics,04e4j5d46,"""04e4j5d46""",NA,NA,"(author.affiliation.name:(""galapagos"" OR ""galapagos genomics"") OR author.affiliation.ror_id_lineage:(""04e4j5d46"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
University of Cape Town,South African College,03p74gp79,"""03p74gp79""",NA,NA,"(author.affiliation.name:(""university of cape town"" OR ""south african college"") OR author.affiliation.ror_id_lineage:(""03p74gp79"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Shanghai Jiao Tong University,Shanghai Communications University,0220qvk04,"""0220qvk04""",NA,NA,"(author.affiliation.name:(""shanghai jiao tong university"" OR ""shanghai communications university"") OR author.affiliation.ror_id_lineage:(""0220qvk04"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Fudan University,NA,013q1eq08,"""013q1eq08""",NA,NA,"(author.affiliation.name:(""fudan university"") OR author.affiliation.ror_id_lineage:(""013q1eq08"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Sun Yat-sen University,NA,0064kty71,"""0064kty71""",NA,NA,"(author.affiliation.name:(""sun yat-sen university"") OR author.affiliation.ror_id_lineage:(""0064kty71"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Zhejiang University,Chekiang University,00a2xv884,"""00a2xv884""",NA,NA,"(author.affiliation.name:(""zhejiang university"" OR ""chekiang university"") OR author.affiliation.ror_id_lineage:(""00a2xv884"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Peking University,Imperial University of Peking,02v51f717,"""02v51f717""",NA,NA,"(author.affiliation.name:(""peking university"" OR ""imperial university of peking"") OR author.affiliation.ror_id_lineage:(""02v51f717"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Capital Medical University,CMU,013xs5b60,"""013xs5b60""",NA,NA,"(author.affiliation.name:(""capital medical university"" OR ""cmu"") OR author.affiliation.ror_id_lineage:(""013xs5b60"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Seoul National University,Seoul Daehakgyo,04h9pn542,"""04h9pn542""",NA,NA,"(author.affiliation.name:(""seoul national university"" OR ""seoul daehakgyo"") OR author.affiliation.ror_id_lineage:(""04h9pn542"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Peking Union Medical College,Beijing Xiehe Hospital,04jztag35,"""04jztag35""",NA,NA,"(author.affiliation.name:(""peking union medical college"" OR ""beijing xiehe hospital"") OR author.affiliation.ror_id_lineage:(""04jztag35"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Sichuan University,Sìchuān Dàxué,011ashp19,"""011ashp19""",NA,NA,"(author.affiliation.name:(""sichuan university"" OR ""sìchuān dàxué"") OR author.affiliation.ror_id_lineage:(""011ashp19"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Nanjing Medical University,National Jiangsu Medical College,059gcgy73,"""059gcgy73""",NA,NA,"(author.affiliation.name:(""nanjing medical university"" OR ""national jiangsu medical college"") OR author.affiliation.ror_id_lineage:(""059gcgy73"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Huazhong University of Science and Technology,Huázhōng Kējì Dàxué,00p991c53,"""00p991c53""",NA,NA,"(author.affiliation.name:(""huazhong university of science and technology"" OR ""huázhōng kējì dàxué"") OR author.affiliation.ror_id_lineage:(""00p991c53"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
University College London,London University,02jx3x895,"""02jx3x895""",NA,NA,"(author.affiliation.name:(""university college london"" OR ""london university"") OR author.affiliation.ror_id_lineage:(""02jx3x895"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Karolinska Institutet,Royal Caroline Institute,056d84691,"""056d84691""",NA,NA,"(author.affiliation.name:(""karolinska institutet"" OR ""royal caroline institute"") OR author.affiliation.ror_id_lineage:(""056d84691"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
University of Oxford,Oxford University,052gg0110,"""052gg0110""",NA,NA,"(author.affiliation.name:(""university of oxford"" OR ""oxford university"") OR author.affiliation.ror_id_lineage:(""052gg0110"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
University of Copenhagen,Universität Kopenhagen,035b05819,"""035b05819""",NA,NA,"(author.affiliation.name:(""university of copenhagen"" OR ""universität kopenhagen"") OR author.affiliation.ror_id_lineage:(""035b05819"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Université de Paris,University of Paris,05f82e368,"""05f82e368""",NA,NA,"(author.affiliation.name:(""université de paris"" OR ""university of paris"") OR author.affiliation.ror_id_lineage:(""05f82e368"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
King's College London,KCL,0220mzb33,"""0220mzb33""",NA,NA,"(author.affiliation.name:(""king's college london"" OR ""kcl"") OR author.affiliation.ror_id_lineage:(""0220mzb33"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
University of Amsterdam,Universiteit van Amsterdam,04dkp9463,"""04dkp9463""",NA,NA,"(author.affiliation.name:(""university of amsterdam"" OR ""universiteit van amsterdam"") OR author.affiliation.ror_id_lineage:(""04dkp9463"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Imperial College London,Coleg Imperial Llundain,041kmwe10,"""041kmwe10""",NA,NA,"(author.affiliation.name:(""imperial college london"" OR ""coleg imperial llundain"") OR author.affiliation.ror_id_lineage:(""041kmwe10"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Utrecht University,Universiteit Utrecht,04pp8hn57,"""04pp8hn57""",NA,NA,"(author.affiliation.name:(""utrecht university"" OR ""universiteit utrecht"") OR author.affiliation.ror_id_lineage:(""04pp8hn57"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Heidelberg University,Ruprecht-Karls-Universität Heidelberg,038t36y30,"""038t36y30""",NA,NA,"(author.affiliation.name:(""heidelberg university"" OR ""ruprecht-karls-universität heidelberg"") OR author.affiliation.ror_id_lineage:(""038t36y30"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
University of Milan,Université de milan,00wjc7c48,"""00wjc7c48""",NA,NA,"(author.affiliation.name:(""university of milan"" OR ""université de milan"") OR author.affiliation.ror_id_lineage:(""00wjc7c48"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Erasmus University Rotterdam,Erasmus Universiteit Rotterdam,057w15z03,"""057w15z03""",NA,NA,"(author.affiliation.name:(""erasmus university rotterdam"" OR ""erasmus universiteit rotterdam"") OR author.affiliation.ror_id_lineage:(""057w15z03"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Freie Universität Berlin,Free University of Berlin,046ak2485,"""046ak2485""",NA,NA,"(author.affiliation.name:(""freie universität berlin"" OR ""free university of berlin"") OR author.affiliation.ror_id_lineage:(""046ak2485"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
University of Cambridge,Cambridge University,013meh722,"""013meh722""",NA,NA,"(author.affiliation.name:(""university of cambridge"" OR ""cambridge university"") OR author.affiliation.ror_id_lineage:(""013meh722"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Humboldt-Universität zu Berlin,Humboldt University of Berlin,01hcx6992,"""01hcx6992""",NA,NA,"(author.affiliation.name:(""humboldt-universität zu berlin"" OR ""humboldt university of berlin"") OR author.affiliation.ror_id_lineage:(""01hcx6992"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
University of Zurich,Universität Zürich,02crff812,"""02crff812""",NA,NA,"(author.affiliation.name:(""university of zurich"" OR ""universität zürich"") OR author.affiliation.ror_id_lineage:(""02crff812"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Tel Aviv University,NA,04mhzgx49,"""04mhzgx49""",NA,NA,"(author.affiliation.name:(""tel aviv university"") OR author.affiliation.ror_id_lineage:(""04mhzgx49"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Harvard University,Universidad de Harvard,03vek6s52,"""03vek6s52""",NA,NA,"(author.affiliation.name:(""harvard university"" OR ""universidad de harvard"") OR author.affiliation.ror_id_lineage:(""03vek6s52"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Johns Hopkins University,JHU,00za53h95,"""00za53h95""",NA,NA,"(author.affiliation.name:(""johns hopkins university"" OR ""jhu"") OR author.affiliation.ror_id_lineage:(""00za53h95"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
University of Toronto,Université de Toronto,03dbr7087,"""03dbr7087""",NA,NA,"(author.affiliation.name:(""university of toronto"" OR ""université de toronto"") OR author.affiliation.ror_id_lineage:(""03dbr7087"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
University of Pennsylvania,UPenn,00b30xv10,"""00b30xv10""",NA,NA,"(author.affiliation.name:(""university of pennsylvania"" OR ""upenn"") OR author.affiliation.ror_id_lineage:(""00b30xv10"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
"University of California, San Francisco",UCSF,043mz5j54,"""043mz5j54""",NA,NA,"(author.affiliation.name:(""university of california, san francisco"" OR ""ucsf"") OR author.affiliation.ror_id_lineage:(""043mz5j54"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Duke University,Universidad de Duke,00py81415,"""00py81415""",NA,NA,"(author.affiliation.name:(""duke university"" OR ""universidad de duke"") OR author.affiliation.ror_id_lineage:(""00py81415"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
University of Michigan,UMich,00jmfr291,"""00jmfr291""",NA,NA,"(author.affiliation.name:(""university of michigan"" OR ""umich"") OR author.affiliation.ror_id_lineage:(""00jmfr291"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Stanford University,Leland Stanford Junior University,00f54p054,"""00f54p054""",NA,NA,"(author.affiliation.name:(""stanford university"" OR ""leland stanford junior university"") OR author.affiliation.ror_id_lineage:(""00f54p054"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
University of Melbourne,Melbourne University,01ej9dk98,"""01ej9dk98""",NA,NA,"(author.affiliation.name:(""university of melbourne"" OR ""melbourne university"") OR author.affiliation.ror_id_lineage:(""01ej9dk98"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
University of Sydney,Sydney University,0384j8v12,"""0384j8v12""",NA,NA,"(author.affiliation.name:(""university of sydney"" OR ""sydney university"") OR author.affiliation.ror_id_lineage:(""0384j8v12"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
University of São Paulo,Universidade de São Paulo,036rp1748,"""036rp1748""",NA,NA,"(author.affiliation.name:(""university of são paulo"" OR ""universidade de são paulo"") OR author.affiliation.ror_id_lineage:(""036rp1748"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
